iso3,country_name,indicator,indicator_name,year,value_percent,country_longitude,country_latitude,status
PER,Peru,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
PHL,Philippines,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
PCN,Pitcairn,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
POL,Poland,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
PRT,Portugal,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
PRI,Puerto Rico,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
QAT,Qatar,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
ROU,Romania,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
RUS,Russian Federation,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
RWA,Rwanda,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
REU,Réunion,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
BLM,Saint Barthélemy,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SHN,"Saint Helena, Ascension and Tristan da Cunha",EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
KNA,Saint Kitts and Nevis,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
LCA,Saint Lucia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
MAF,Saint Martin (French part),EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SPM,Saint Pierre and Miquelon,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
VCT,Saint Vincent and the Grenadines,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
WSM,Samoa,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SMR,San Marino,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
STP,Sao Tome and Principe,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SAU,Saudi Arabia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SEN,Senegal,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SRB,Serbia,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SYC,Seychelles,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SLE,Sierra Leone,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SGP,Singapore,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
SXM,Sint Maarten (Dutch part),EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),,,,,not_fetched
